jahr;foerderungswerber;foerderungsart;medium;mediumtyp;gesetzlichegrundlage;foerderungsbetrag;"1. Teilbetrag";"2. Teilbetrag";grundbetrag;zusatzfoerderungen;redaktionsstatut;fehlermanagementsystem;"qualitätssicherungssystem";frauenfoerderplaene;"inhaltsvielfaltfoerderung";regional;international;status;ablehnungsgrund
"2025";"OÖ. Journalismusakademie";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";"47777,23";;;;;;;;;;;;abgeschlossen;
"2025";"Österreichische Gesellschaft für Publizistik und Medienforschung";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";"19035,31";;;;;;;;;;;;abgeschlossen;
"2025";"Österreichische Medienakademie - Ausbildungsinstitut für Journalistinnen und Journalisten";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";"340267,87";;;;;;;;;;;;abgeschlossen;
"2025";"Tiroler Journalismusakademie";"Einrichtungen der Aus- und Fortbildung";;;"4. Abschnitt: § 9 QJF-G";"57015,82";;;;;;;;;;;;abgeschlossen;
"2025";"Verein zur Selbstkontrolle der österreichischen Presse - Österreichischer Presserat";"Förderung der Selbstkontrolle der Presse - Selbstkontrolleinrichtungen im Print- und Online-Bereich";;;"6. Abschnitt: § 14 QJF-G";"186000,00";;;;;;;;;;;;abgeschlossen;
"2025";"""Die Presse"" Verlags-Gesellschaft m.b.H. & Co KG";"Inhaltsvielfalts-Förderung";"""Die Presse"" Unabhängige Tageszeitung für Österreich";Tageszeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"60580,83";"30290,40";"30290,40";;;;;;;"60580,83";;"60580,83";abgeschlossen;
"2025";"Verein zur Förderung einer Straßenzeitung in Tirol";"Inhaltsvielfalts-Förderung";"20er - Die Tiroler Strassenzeitung";Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"3879,67";"1939,85";"1939,86";;;;;;;"3879,67";"3879,67";;abgeschlossen;
"2025";"Sand und Zeit, Herausgabe und Vertrieb der Straßenzeitung AUGUSTIN";"Inhaltsvielfalts-Förderung";Augustin;Magazin;"3. Abschnitt: §§ 7, 8 QJF-G";"3713,40";"1856,70";"1856,71";;;;;;;"3713,40";"3713,40";;abgeschlossen;
"2025";"Badener Zeitungsverlag GmbH";"Inhaltsvielfalts-Förderung";"Badener Zeitung";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"3020,60";"1510,30";"1510,31";;;;;;;"3020,60";"3020,60";;abgeschlossen;
"2025";"Bezirksblätter Burgenland Verlag GmbH";"Inhaltsvielfalts-Förderung";"Bezirksblätter Burgenland / Mein Bezirk Burgenland";Wochenzeitung;"3. Abschnitt: §§ 7, 8 QJF-G";"35748,36";"17874,20";"17874,20";;;;;;;"35748,36";"35748,36";;abgeschlossen;
